title,author,date,views,likes,link
Why Broken Hearts Hurt — and What Heals Them,Yoram Yovell,June 2024,19397,1006,https://www.youtube.com/watch?v=9m2wP2cArrY
An Optimist’s Take on Reskilling in the Age of AI,Sagar Goel,June 2024,27303,677,https://www.youtube.com/watch?v=qC1QlUr5mCE
12 Predictions for the Future of Technology,Vinod Khosla,June 2024,69695,1835,https://www.youtube.com/watch?v=Pj9QnO9rZkE
How to Use Venture Capital for Good,Freada Kapor Klein,June 2024,22039,441,https://www.youtube.com/watch?v=nCmlX23tmHg
A Snack’s Journey from the Farm to Your Mouth,Aruna Rangachar Pohl,June 2024,23651,509,https://www.youtube.com/watch?v=SFpCQRZOxVE
Your Right to Repair AI Systems,Rumman Chowdhury,June 2024,36094,855,https://www.youtube.com/watch?v=PxE0TWcT-kA
The Difference Between False Empathy and True Support,Chezare A. Warren,June 2024,48094,1526,https://www.youtube.com/watch?v=OAzp-7yY0FQ
How to Imagine a Better Future for Democracy,adrienne maree brown and Baratunde Thurston,June 2024,20248,394,https://www.youtube.com/watch?v=0Mi0miIN6tA
My Quest to Cure Prion Disease — Before It’s Too Late,Sonia Vallabh,June 2024,74968,2253,https://www.youtube.com/watch?v=04PmEJaYKd0
Why the World Needs More Builders — and Less “Us vs. Them”,Daniel Lubetzky,May 2024,47514,1291,https://www.youtube.com/watch?v=QTau-xHsz80
"Courage, the Most Important Virtue",Bari Weiss,May 2024,48935,1333,https://www.youtube.com/watch?v=AW3klebbNYY
The Problem With Being “Too Nice” at Work,Tessa West,May 2024,196197,3621,https://www.youtube.com/watch?v=HrCbXNRP7eg
Are We Celebrating the Wrong Leaders?,Martin Gutmann,May 2024,122542,3913,https://www.youtube.com/watch?v=b0Z9IpTVfUg
The Science of Lifespan — and the Impact of Your Five Senses,Christi Gendron,May 2024,66524,1414,https://www.youtube.com/watch?v=58rMMTJUp_U
"With AI, Anyone Can Be a Coder Now",Thomas Dohmke,May 2024,187571,5493,https://www.youtube.com/watch?v=nv9WwHpOKEg
The Good News You Might Have Missed,Angus Hervey,May 2024,80340,3309,https://www.youtube.com/watch?v=DWZh9l8xUtY
How to Fight for Democracy in the Shadow of Autocracy,Fatma Karume,May 2024,28133,766,https://www.youtube.com/watch?v=zUKB7PcAB0I
The Luminous Mystery of Fireflies,Wan Faridah Akmal Jusoh,May 2024,40124,1551,https://www.youtube.com/watch?v=kSnvSXDN3Dk
How Fantasy Worlds Can Spark Real Change,Annalee Newitz,May 2024,23268,710,https://www.youtube.com/watch?v=v4Y0FzwVMR8
1 Simple Question That Could Improve Women’s Health,Meryam Sugulle,May 2024,46486,805,https://www.youtube.com/watch?v=D1m1SQIdMkk
"With Spatial Intelligence, AI Will Understand the Real World",Fei-Fei Li,May 2024,382262,9028,https://www.youtube.com/watch?v=y8NtMZ7VGmU
The US Has a Teacher Shortage — Here’s How To Fix It,Randy Seriguchi Jr.,May 2024,43424,1088,https://www.youtube.com/watch?v=SjCrlJyFBiI
An Activist Investor on Challenging the Status Quo,Bill Ackman,May 2024,70012,1505,https://www.youtube.com/watch?v=bkCpQk_K_jg
How Aerosols Brighten Clouds — and Cool the Planet,Sarah J. Doherty,May 2024,12643,211,https://www.youtube.com/watch?v=pOdIn86ZM1E
The Workers Rebuilding Communities After Natural Disasters,Saket Soni,May 2024,20039,433,https://www.youtube.com/watch?v=wtCogf-htV0
How Far Away Is a Ceasefire? An Update on Gaza and the Rafah Invasion | Ian Bremmer,Unknown,May 2024,31840,531,https://www.youtube.com/watch?v=a_yYWpiC3t0
Welcome to the World of Audio Computers,Jason Rugolo,May 2024,142303,4594,https://www.youtube.com/watch?v=L61Kbo3y218
Why US Politics Is Broken — and How To Fix It,Andrew Yang,May 2024,483443,24173,https://www.youtube.com/watch?v=1Ws3w_ZOmhI
A Climate Solution? The Wisdom Passed Down Through Generations,Louise Mabulo,May 2024,40395,931,https://www.youtube.com/watch?v=SCWFVd_FiAU
Is Your Partner “The One?” Wrong Question,George Blair-West,May 2024,97620,2508,https://www.youtube.com/watch?v=p_9eJ3uSP00
How the US Is Destroying Young People’s Future,Scott Galloway,May 2024,4646919,259533,https://www.youtube.com/watch?v=qEJ4hkpQW8E
How to Govern AI — Even If It’s Hard to Predict,Helen Toner,May 2024,56487,1474,https://www.youtube.com/watch?v=LUn8IjZKBPg
My Epic Journey Becoming the Fastest Person to Paddle around Australia,Bonnie Hancock,April 2024,24823,526,https://www.youtube.com/watch?v=T4Rvj_bBxiA
An Updated Action Plan for Solving the Climate Crisis,Ryan Panchadsaram and Anjali Grover,April 2024,25123,590,https://www.youtube.com/watch?v=9_O7qXqrMfE
How AI Is Unlocking the Secrets of Nature and the Universe,Demis Hassabis,April 2024,306914,6978,https://www.youtube.com/watch?v=0_M_syPuFos
How to Live With Fire,Oral McGuire,April 2024,32597,561,https://www.youtube.com/watch?v=gHvXr6NuqYQ
"What TED Will Look Like in 40 Years — According to Sora, OpenAI’s Unreleased Text-to-Video Model",Unknown,April 2024,44638,779,https://www.youtube.com/watch?v=UXlPKKg4Md0
The Secret Ingredient of Business Success,Pete Stavros,April 2024,57169,1700,https://www.youtube.com/watch?v=wpysFja4zyQ
The Art of Persuasive Storytelling,Kelly D. Parker,April 2024,65807,1831,https://www.youtube.com/watch?v=Oo2upU6ny-I
The Weird and Wonderful Art of Niceaunties | TED,Unknown,April 2024,39125,829,https://www.youtube.com/watch?v=hwSNbMW6XGY
How to Be an Active Citizen and Spark Change,Gabriel Marmentini,April 2024,32709,843,https://www.youtube.com/watch?v=sgFq4ty8wSI
What Is an AI Anyway?,Mustafa Suleyman,April 2024,1087208,23087,https://www.youtube.com/watch?v=KKNCiRWd_j0
Can Cannabis Help You Sleep? Here’s the Science,Jen Walsh,April 2024,124272,2427,https://www.youtube.com/watch?v=8efxcrjdffg
How AI Will Step Off the Screen and into the Real World,Daniela Rus,April 2024,253991,6488,https://www.youtube.com/watch?v=QOCZYRXL0AQ
What You Can Do to Stop Economic Crime,Hanjo Seibert,April 2024,43143,1031,https://www.youtube.com/watch?v=54AYOd5S7uo
"A Palestinian and an Israeli, Face to Face",Aziz Abu Sarah and Maoz Inon,April 2024,897005,24094,https://www.youtube.com/watch?v=0juLRi90kRg
Why You Should Disappoint Your Parents,Desiree Akhavan,April 2024,72003,2477,https://www.youtube.com/watch?v=hn5gytOCVgE
"A Futuristic Vision for Latin America, Rooted in Ancient Design",Catalina Lotero,April 2024,27176,870,https://www.youtube.com/watch?v=b_boPcOY-FA
"Music, Movement and Poetry",Tunde Olaniran,April 2024,22420,359,https://www.youtube.com/watch?v=4o-S4VIg8Ys
Can AI Catch Criminals at Sea?,Dyhia Belhabib,April 2024,42113,929,https://www.youtube.com/watch?v=Xj_VDOZjds8
A New National Park to Reclaim Indigenous Land,Tracie Revis,April 2024,25097,587,https://www.youtube.com/watch?v=Gdi7uN-DQYo
Ideas Change Everything — and What’s Next for TED,Chris Anderson and Monique Ruff-Bell,April 2024,26010,531,https://www.youtube.com/watch?v=_uUskajC1Ps
Want to Succeed in Business? Find a Problem to Solve,Anthony Tan and Amane Dannouni,April 2024,51464,1160,https://www.youtube.com/watch?v=Im_ghczQEPw
Your Invitation to Help Build a Sustainable Future,Jim Snabe,April 2024,40407,860,https://www.youtube.com/watch?v=9TFi9Zo4FJc
How to Spot a Cult,Sarah Edmondson,April 2024,236123,7358,https://www.youtube.com/watch?v=fa7uN2vo6rc
What Happens to Sex in Midlife? A Look at the “Bedroom Gap”,Maria Sophocles,April 2024,254709,2562,https://www.youtube.com/watch?v=alYBnyxMuPk
I'm Terrified of Wanting to Be a Billionaire,Pardis Parker,April 2024,24909,496,https://www.youtube.com/watch?v=x4Yhi7ggins
The Human Cost of Coal Mining in China,"Xiaojun ""Tom"" Wang",April 2024,22506,536,https://www.youtube.com/watch?v=7ZVu5N4gOgY
A Comedian’s Take on How to Save Democracy,Jordan Klepper,April 2024,522228,21930,https://www.youtube.com/watch?v=bUmHABnk9FY
How to Live With Economic Doomsaying,Philipp Carlsson-Szlezak,April 2024,47805,856,https://www.youtube.com/watch?v=RKEsIkJRuW4
Let Your Garden Grow Wild,Rebecca McMackin,March 2024,400132,15966,https://www.youtube.com/watch?v=qxgE0q1_m6U
Why Don’t We Have Better Robots Yet?,Ken Goldberg,March 2024,180813,4836,https://www.youtube.com/watch?v=cUdl-Cp-LWw
"Invisible AI, a Personal Time Machine and More: A Celebration of Creativity from the TED Conference",Unknown,March 2024,28143,550,https://www.youtube.com/watch?v=JNG3wwLqRok
3 Steps to Better Connect With Your Fellow Humans,Amber Cabral,March 2024,47982,1400,https://www.youtube.com/watch?v=dxA6D4dJWn8
How Business Leaders Can Renew Democracy,Daniella Ballou-Aares,March 2024,27565,540,https://www.youtube.com/watch?v=wXODvu8UfXc
"How to Choose Clothes for Longevity, Not the Landfill",Diarra Bousso,March 2024,39364,1036,https://www.youtube.com/watch?v=LbZC0DjnhGs
AI and the Paradox of Self-Replacing Workers,Madison Mohns,March 2024,60799,1318,https://www.youtube.com/watch?v=DbQjrA9VPjY
"Dear Fellow Refugees, Here’s How I Found Resilience",Chantale Zuzi Leader,March 2024,16805,414,https://www.youtube.com/watch?v=akNqFXCVPwU
How a Sanctuary for Self-Expression Can Change Lives,Lindsay Morris and Reed J. Williams,March 2024,11121,197,https://www.youtube.com/watch?v=spwXNUFHhAg
The Unsung Heroes Fighting Malnutrition,Shruthi Baskaran-Makanju,March 2024,13591,292,https://www.youtube.com/watch?v=Y8tqH6MnJUU
5 Lessons on Happiness — from Pop Fame to Poisonous Snakes,Mike Posner,March 2024,78295,2682,https://www.youtube.com/watch?v=8qojNkkvzSQ
The Miracle of Organ Donation — and a Breakthrough for the Future,Abbas Ardehali,March 2024,30560,855,https://www.youtube.com/watch?v=Q69o7mr-0S4
The 5 Tenets of Turning Pain Into Power,Christine Schuler Deschryver,March 2024,15412,349,https://www.youtube.com/watch?v=syxEMoU8KWg
Meet Mini-Grids — the Clean Energy Solution Bringing Power to Millions,Tombo Banda,March 2024,37179,973,https://www.youtube.com/watch?v=ngk7VVyveu8
A Path to Social Safety for Migrant Workers,Ashif Shaikh,March 2024,29918,484,https://www.youtube.com/watch?v=FzhI2D_kaCY
3 Mysteries of the Universe — and a New Force That Might Explain Them,Alex Keshavarzi,March 2024,196821,3811,https://www.youtube.com/watch?v=5z_krRwSyt8
"When You Inform Women, You Transform Lives",Paige Alexander,March 2024,18085,307,https://www.youtube.com/watch?v=P7slA-LkA3s
